,Date,Open,Close,Low,High,Volume
0,2020-06-16 15:00:00,1.123785,1.125705,1.122795,1.126415,12566
1,2020-06-16 16:00:00,1.125725,1.12683,1.12551,1.12734,10274
2,2020-06-16 17:00:00,1.126825,1.126295,1.12582,1.12686,8445
3,2020-06-16 18:00:00,1.12629,1.127225,1.12603,1.12725,8375
4,2020-06-16 19:00:00,1.127235,1.12609,1.12567,1.12724,9030
5,2020-06-16 20:00:00,1.12616,1.12634,1.125735,1.1264,6231
6,2020-06-16 21:00:00,1.12634,1.12622,1.125575,1.126945,6574
7,2020-06-16 22:00:00,1.126215,1.125935,1.125345,1.12631,8367
8,2020-06-16 23:00:00,1.12594,1.12651,1.12592,1.12664,7087
9,2020-06-17 00:00:00,1.126515,1.126765,1.125575,1.127325,10007
10,2020-06-17 01:00:00,1.12676,1.12653,1.12606,1.127305,10146
11,2020-06-17 02:00:00,1.12652,1.12643,1.12551,1.12683,10052
12,2020-06-17 03:00:00,1.12644,1.12644,1.126165,1.126795,8375
13,2020-06-17 04:00:00,1.126435,1.127145,1.126315,1.127325,8463
14,2020-06-17 05:00:00,1.12715,1.12735,1.126995,1.127865,9034
15,2020-06-17 06:00:00,1.127355,1.128045,1.127215,1.12855,10411
16,2020-06-17 07:00:00,1.128055,1.12667,1.12661,1.129415,11166
17,2020-06-17 08:00:00,1.126675,1.125775,1.12515,1.127555,11275
18,2020-06-17 09:00:00,1.125765,1.122965,1.122455,1.126045,11551
19,2020-06-17 10:00:00,1.12297,1.124215,1.12291,1.124895,10760
20,2020-06-17 11:00:00,1.1242,1.1231,1.122915,1.125505,10645
21,2020-06-17 12:00:00,1.12308,1.12368,1.122295,1.124465,11337
22,2020-06-17 13:00:00,1.123685,1.12188,1.121455,1.124855,12071
23,2020-06-17 14:00:00,1.12202,1.12196,1.120715,1.12376,12939
24,2020-06-17 15:00:00,1.12195,1.121915,1.120925,1.12309,11210
25,2020-06-17 16:00:00,1.12187,1.12311,1.121585,1.123375,9751
26,2020-06-17 17:00:00,1.123115,1.12372,1.12303,1.124025,8839
27,2020-06-17 18:00:00,1.12369,1.123085,1.12297,1.123755,8517
28,2020-06-17 19:00:00,1.123065,1.12392,1.122875,1.12398,9388
29,2020-06-17 20:00:00,1.123915,1.124425,1.1235,1.124625,7937
30,2020-06-17 21:00:00,1.124405,1.124255,1.12405,1.12469,5539
31,2020-06-17 22:00:00,1.12426,1.124475,1.12419,1.12479,8177
