Date,Open,Close,Low,High,Volume
2020-07-09 03:00:00,9359.435,9361.5525,9348.8445,9368.894,1111.482641
2020-07-09 04:00:00,9358.7005,9363.797,9353.855,9380.304,1254.860058
2020-07-09 05:00:00,9363.797,9358.129,9355.877,9381.9835,1377.252209
2020-07-09 06:00:00,9358.0015,9388.378,9354.9305,9395.672,1308.952663
2020-07-09 07:00:00,9388.4755,9378.976,9368.575,9389.742,1797.740116
2020-07-09 08:00:00,9378.8875,9373.9915,9367.298,9381.4225,1157.641203
2020-07-09 09:00:00,9374.124,9360.4555,9356.5555,9374.57,1399.93202
2020-07-09 10:00:00,9360.4555,9340.964,9326.8095,9364.7325,2488.864243
2020-07-09 11:00:00,9340.885,9378.211,9332.6655,9378.858,1770.720757
2020-07-09 12:00:00,9377.722,9399.049,9369.1035,9408.147,2004.098524
2020-07-09 13:00:00,9399.049,9369.762,9350.335,9402.869,1797.453702
2020-07-09 14:00:00,9369.762,9271.8165,9251.8175,9370.3405,4563.269143
2020-07-09 15:00:00,9269.9385,9185.827,9138.687,9269.9385,7996.830021
2020-07-09 16:00:00,9185.5535,9197.733,9165.7935,9209.085,2452.999012
2020-07-09 17:00:00,9197.6945,9185.9725,9177.6075,9216.4265,1658.504724
2020-07-09 18:00:00,9185.9725,9201.9325,9176.0175,9209.43,1412.232698
2020-07-09 19:00:00,9201.9325,9195.0895,9165.4085,9206.5765,1435.248171
2020-07-09 20:00:00,9195.1695,9210.0725,9183.8215,9219.808,1140.656268
2020-07-09 21:00:00,9210.0725,9225.573,9207.3135,9229.025,1124.829513
2020-07-09 22:00:00,9226.144,9219.399,9193.6435,9230.07,1124.20423
2020-07-09 23:00:00,9219.399,9209.344,9198.142,9219.399,893.539329
2020-07-10 00:00:00,9209.227,9190.99,9184.207,9214.159,1661.124401
2020-07-10 01:00:00,9190.99,9200.835,9188.8955,9209.6435,1031.154456
2020-07-10 02:00:00,9200.835,9192.137,9170.5045,9206.92,1192.216901
2020-07-10 03:00:00,9192.137,9199.5985,9185.534,9208.0875,762.910926
2020-07-10 04:00:00,9199.6095,9123.654,9105.1855,9204.207,2963.707969
2020-07-10 05:00:00,9123.567,9125.7235,9103.2795,9143.0955,2074.69517
2020-07-10 06:00:00,9125.7235,9120.5965,9120.1775,9146.801,1948.687082
2020-07-10 07:00:00,9119.49,9132.1075,9105.245,9143.924,2271.08823
2020-07-10 08:00:00,9132.1075,9151.888,9132.1075,9176.6625,2065.695625
2020-07-10 09:00:00,9151.888,9161.607,9143.2195,9164.7855,1464.364492
2020-07-10 10:00:00,9161.779,9160.8255,9141.0455,9167.06,1546.288041
2020-07-10 11:00:00,9160.8255,9138.591,9137.227,9182.099,1840.876461
2020-07-10 12:00:00,9138.591,9163.14,9137.7235,9172.5665,1418.870547
2020-07-10 13:00:00,9163.14,9161.893,9142.0825,9177.883,1503.357269
2020-07-10 14:00:00,9162.5595,9166.4615,9143.0905,9172.7555,1423.580017
2020-07-10 15:00:00,9166.4615,9222.8105,9161.509,9225.8725,2318.3678
2020-07-10 16:00:00,9222.7405,9200.079,9188.9755,9229.284,1886.310508
2020-07-10 17:00:00,9199.9975,9198.751,9182.9905,9204.5525,1172.596944
2020-07-10 18:00:00,9198.751,9196.8155,9186.661,9203.5195,1053.974377
2020-07-10 19:00:00,9197.035,9212.486,9196.0675,9217.8425,996.675151
2020-07-10 20:00:00,9212.486,9208.9325,9206.7565,9231.868,1166.002195
2020-07-10 21:00:00,9208.9325,9193.8405,9187.2965,9210.496,808.421898
2020-07-10 22:00:00,9193.7475,9205.151,9189.2545,9220.606,915.728611
2020-07-10 23:00:00,9204.9025,9265.124,9202.93,9292.3165,1962.317354
2020-07-11 00:00:00,9265.124,9255.498,9247.8175,9276.027,1270.808028
2020-07-11 01:00:00,9255.498,9262.2715,9243.5645,9264.047,977.826025
2020-07-11 02:00:00,9262.2715,9254.7,9246.8355,9267.813,750.096859
2020-07-11 03:00:00,9254.7,9245.0245,9234.401,9265.204,1000.680689
2020-07-11 04:00:00,9245.0245,9234.84,9230.172,9254.2715,799.95685
2020-07-11 05:00:00,9234.84,9237.41,9234.373,9252.1565,852.764973
2020-07-11 06:00:00,9237.264,9233.454,9230.8355,9245.0045,833.354175
2020-07-11 07:00:00,9233.434,9245.2295,9232.122,9255.873,871.549035
2020-07-11 08:00:00,9244.738,9236.037,9234.41,9246.77,756.313015
2020-07-11 09:00:00,9235.833,9183.908,9155.9475,9236.145,2802.485
2020-07-11 10:00:00,9183.908,9187.818,9177.7155,9211.389,1008.764358
2020-07-11 11:00:00,9187.818,9177.4455,9175.4985,9200.857,964.244957
2020-07-11 12:00:00,9177.374,9185.9125,9172.018,9200.1075,715.780199
2020-07-11 13:00:00,9186.1405,9201.389,9178.0325,9206.182,854.75348
2020-07-11 14:00:00,9201.282,9208.277,9181.2815,9212.536,1057.605351
2020-07-11 15:00:00,9208.277,9203.5885,9197.9425,9210.062,756.603239
