,Date,Open,Close,Low,High,Volume
0,2019-12-20 16:00:00,1.108645,1.107565,1.107325,1.10871,8328
1,2019-12-20 17:00:00,1.10757,1.106855,1.10678,1.107595,7025
2,2019-12-20 18:00:00,1.10686,1.106815,1.10662,1.107125,7188
3,2019-12-20 19:00:00,1.10682,1.10754,1.106815,1.1077,6810
4,2019-12-20 20:00:00,1.107545,1.10773,1.107535,1.10788,7271
5,2019-12-20 21:00:00,1.10773,1.107575,1.107255,1.10773,7724
6,2019-12-22 22:00:00,1.10825,1.107875,1.107675,1.108345,4633
7,2019-12-22 23:00:00,1.107855,1.10804,1.10771,1.10805,7195
8,2019-12-23 00:00:00,1.108035,1.10763,1.107305,1.108035,6948
9,2019-12-23 01:00:00,1.107625,1.10785,1.10747,1.1079,6454
10,2019-12-23 02:00:00,1.107855,1.107855,1.10747,1.10786,6529
11,2019-12-23 03:00:00,1.10785,1.10813,1.107775,1.108325,6340
12,2019-12-23 04:00:00,1.108125,1.10784,1.1078,1.108195,5652
13,2019-12-23 05:00:00,1.107835,1.108225,1.107775,1.108335,6399
14,2019-12-23 06:00:00,1.10822,1.10839,1.10822,1.108645,6688
15,2019-12-23 07:00:00,1.108395,1.10839,1.10817,1.10861,6998
16,2019-12-23 08:00:00,1.108385,1.10837,1.108035,1.108875,7819
17,2019-12-23 09:00:00,1.108375,1.10836,1.10808,1.1087,7610
18,2019-12-23 10:00:00,1.10835,1.1083,1.10811,1.10883,7564
19,2019-12-23 11:00:00,1.108305,1.108105,1.10767,1.108345,7616
20,2019-12-23 12:00:00,1.10811,1.107425,1.107175,1.10811,8153
21,2019-12-23 13:00:00,1.10743,1.108015,1.10699,1.10838,8513
22,2019-12-23 14:00:00,1.108015,1.10873,1.107665,1.108745,8175
23,2019-12-23 15:00:00,1.10874,1.108725,1.10855,1.109595,8434
24,2019-12-23 16:00:00,1.10872,1.108985,1.10849,1.109435,7725
25,2019-12-23 17:00:00,1.10899,1.109095,1.108545,1.109195,7126
26,2019-12-23 18:00:00,1.109085,1.108975,1.108695,1.109285,6399
27,2019-12-23 19:00:00,1.10897,1.10935,1.10897,1.10946,6400
